t,Rf,VT,VE,IV,VO2,VCO2
s,1/min,L(btps),L/min,mL,mL/min,mL/min
00:02,14.46,1.44,20.819,1146,518.1226969,507.6394232
00:07,11.74,1.638,19.233,1271,481.2220095,477.5238219
00:12,13.04,1.667,21.743,1345,491.7052346,501.5139152
00:17,12.32,1.857,22.879,1544,524.2761936,552.738233
00:21,13.16,1.709,22.487,1282,529.5871048,551.9223682
00:26,12.96,1.897,24.583,1507,533.1553868,560.4886451
00:31,11.86,2.119,25.126,1690,483.0240756,533.1671639
00:36,12.5,1.648,20.6,1293,375.9367203,422.7853057
00:41,11.58,1.834,21.243,1520,380.7283366,438.324401
00:47,10.47,2.589,27.11,1847,478.2692468,577.3004606
00:52,11.07,2.428,26.878,1902,453.4185555,562.935038
00:58,10.87,2.227,24.207,1859,413.6360283,510.0571206
01:03,11.21,2.342,26.265,1872,476.7516364,582.8796686
01:09,10.54,1.994,21.026,1665,375.8475232,441.6198948
01:14,11.3,2.143,24.215,1643,409.1036133,476.5888042
01:19,13.45,1.554,20.906,1404,338.6794163,395.6757449
01:24,11.26,1.864,20.983,1367,355.299187,409.2334913
01:28,12.58,1.956,24.604,1612,417.9015973,489.2280197
01:34,10.1,2.319,23.424,1810,380.9467602,446.135978
01:40,11.49,2.205,25.345,1658,424.1686897,487.0871842
01:45,11.3,1.967,22.226,1703,366.1679398,430.1803556
01:50,12.32,1.715,21.129,1271,357.4560831,403.0556848
01:56,10.12,2.131,21.562,1626,401.4633414,444.141461
02:02,10.75,1.623,17.452,1394,318.6923078,334.9566855
02:07,10.47,2.06,21.571,1460,406.5183216,428.6086721
02:13,10.68,1.996,21.31,1620,393.547261,419.2383932
02:18,11.15,2.001,22.316,1429,439.6524349,453.3317824
02:25,9.29,2.934,27.251,2389,486.7436446,516.4715264
02:31,8.9,2.998,26.688,2514,436.9235416,490.2694494
02:37,9.85,2.136,21.044,1863,354.9295997,393.1082028
02:43,10.68,2.097,22.388,1701,368.9352796,405.4124208
02:49,10.05,2.239,22.503,1669,355.7443488,395.3393921
02:54,10.83,2.202,23.848,1582,389.4166889,432.4943757
03:00,10.17,2.681,27.264,2421,405.8727803,482.3647251
